restaurant,calories,total_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,cuisine
Applebee's,370,22.0,55,1250,26,2,9,16,american restaurant
Applebee's,220,12.0,25,1270,22,2,9,5,american restaurant
Applebee's,280,15.0,35,930,26,2,3,11,american restaurant
Applebee's,130,7.0,10,230,14,2,4,6,american restaurant
Applebee's,1560,103.0,65,1610,120,12,44,40,american restaurant
Applebee's,230,18.0,15,410,13,2,3,5,american restaurant
Applebee's,1430,89.0,150,2020,104,11,52,56,american restaurant
Applebee's,1450,80.0,120,3670,128,9,21,56,american restaurant
Applebee's,180,9.0,20,400,19,1,5,7,american restaurant
Applebee's,1620,106.0,200,3630,97,8,6,69,american restaurant
Applebee's,1120,66.0,85,1880,90,7,7,43,american restaurant
Applebee's,1390,75.0,180,4090,116,9,6,62,american restaurant
Applebee's,290,15.0,50,650,19,1,0,18,american restaurant
Applebee's,310,9.0,15,830,44,2,10,11,american restaurant
Applebee's,860,43.0,100,2450,77,7,12,41,american restaurant
Applebee's,980,61.0,25,2670,89,8,8,21,american restaurant
Applebee's,900,51.0,300,2800,49,7,7,66,american restaurant
Applebee's,790,43.0,235,2510,47,6,7,55,american restaurant
Applebee's,1170,60.0,195,3580,98,6,8,60,american restaurant
Applebee's,1390,79.0,135,2940,122,9,21,50,american restaurant
Applebee's,1080,61.0,100,2340,95,7,10,37,american restaurant
Applebee's,1130,49.0,190,3920,142,12,30,33,american restaurant
Applebee's,400,18.0,0,1000,53,5,0,6,american restaurant
Applebee's,560,30.0,0,1170,66,4,5,7,american restaurant
Applebee's,30,0.0,0,30,6,3,2,3,american restaurant
Applebee's,530,31.0,75,1120,59,4,4,9,american restaurant
Applebee's,590,35.0,90,1270,59,4,4,12,american restaurant
Applebee's,430,26.0,50,900,40,4,5,10,american restaurant
Applebee's,850,37.0,115,650,125,5,89,13,american restaurant
Applebee's,100,0.0,0,20,27,0,27,0,american restaurant
Applebee's,0,0.0,0,25,0,0,0,0,american restaurant
Applebee's,110,0.0,0,40,31,0,31,0,american restaurant
Applebee's,90,0.0,0,25,25,0,25,0,american restaurant
Applebee's,0,0.0,0,5,2,0,0,0,american restaurant
Applebee's,0,0.0,0,0,0,0,0,0,american restaurant
Applebee's,100,0.0,0,40,26,0,26,0,american restaurant
Applebee's,110,0.0,0,20,28,0,28,0,american restaurant
Applebee's,0,0.0,0,35,0,0,0,0,american restaurant
Applebee's,0,0.0,0,25,0,0,0,0,american restaurant
Applebee's,110,0.0,0,45,29,0,29,0,american restaurant
Applebee's,100,2.5,10,105,12,0,12,8,american restaurant
Applebee's,330,15.0,35,190,48,2,35,4,american restaurant
Applebee's,1160,49.0,55,3580,146,6,17,34,american restaurant
Applebee's,280,0.0,0,10,41,1,39,1,american restaurant
Applebee's,130,5.0,0,360,19,2,2,2,american restaurant
Applebee's,330,16.0,40,970,30,3,5,16,american restaurant
Applebee's,640,28.0,110,260,87,0,69,11,american restaurant
Applebee's,740,29.0,110,260,107,2,84,12,american restaurant
Applebee's,550,28.0,110,230,63,0,46,11,american restaurant
Applebee's,1350,54.0,130,3200,160,7,44,55,american restaurant
