matched_2021,new_item_2022,food_category,restaurant,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,640,43,19,0,240,4140,7,0,5,55,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,980,82,12,0,115,2800,15,4,6,44,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,390,27,14,0,160,2740,5,0,2,32,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,270,7,2.5,0,115,2650,9,0,5,46,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,440,15,7,0,200,2290,4,0,,73,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,250,2.5,0,0,125,2150,5,0,0,55,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,320,22,10,0,120,2070,3,0,2,27,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,350,13,5,0,175,1950,0,0,0,65,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,360,28,1.5,0,60,1440,0,0,0,28,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,490,41,6,0,60,1400,8,2,3,22,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,250,16,6,0,80,1390,2,0,2,23,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,190,14,7,0,80,1370,2,0,1,16,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,140,3.5,1,0,55,1330,5,0,2,23,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,220,7,3.5,0,100,1140,2,0,0,36,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,120,1,0,0,60,1070,2,0,0,27,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,160,11,5,0,60,1030,2,0,1,14,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,180,6,2.5,0,90,980,0,0,0,32,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,40,0,0,0,0,960,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,470,38,0,0,95,940,2,0,0,33,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,920,2,2,0,0,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,310,17,2.5,0,20,870,34,0,31,,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,560,48,28,0,160,840,0,0,0,32,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,180,14,6,0,30,720,0,0,0,14,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,180,14,12,0,30,720,0,0,0,14,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,240,20,3,0,30,700,4,,2,11,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,130,8,3,0,40,700,1,0,1,11,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,100,7,3.5,0,40,690,1,0,,8,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,690,2,2,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,70,1.5,0.5,0,30,660,2,0,1,11,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,60,0.5,0,0,30,540,1,0,0,14,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,560,56,0,0,55,500,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,90,3,1,0,45,490,0,0,0,16,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,20,0,0,0,0,480,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,20,0,0.5,0,0,480,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,240,19,21,0,45,470,1,0,0,16,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,460,,,0,0,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,150,9,1.5,0,10,430,17,0,16,0,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,280,24,14,0,80,420,0,0,0,16,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,60,4,1.5,0,20,350,,0,,6,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,5,0,0,0,0,340,1,1,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,280,28,8,0,30,250,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,120,9,11,0,25,240,,0,0,8,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,240,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,240,0,0,0,0,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,280,16,0,0,0,240,32,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,230,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,170,19,0,0,0,200,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,170,,,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,45,4,0,0,0,130,3,4,0,,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,5,0,0,0,0,120,0,0,0,0,
0,1,Toppings & Ingredients,Jimmy John's,,,,Xtra,140,8,0,0,0,120,16,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,110,11,4,0,10,105,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,80,10,1.5,0,0,100,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,20,2,0,0,0,65,2,,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,40,5,0.5,0,0,50,0,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,30,0,0,0,0,20,6,2,4,2,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,35,0,0,0,0,10,7,2,5,2,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,15,0,0,0,0,10,3,1,2,,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,5,0,0,0,0,0,2,0,,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,0,2,,1,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,1,,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,15,0,0,0,0,0,3,,1,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,1,0,,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,15,0,0,0,0,0,4,1,2,,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,0,2,1,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,25,0,0,0,0,0,6,1,3,,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,0,2,0,1,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,5,0,0,0,0,0,1,,,0,
0,1,Beverages,IHOP,,,,X-Large,130,0,0,0,0,65,34,0,31,0,
0,1,Beverages,IHOP,,,,X-Large,290,0,0,0,0,55,78,0,78,0,
0,1,Beverages,IHOP,,,,X-Large,10,0,0,0,0,15,2,0,0,0,
0,1,Beverages,IHOP,,,,X-Large,370,0,0,0,0,15,94,0,92,0,
0,1,Beverages,IHOP,,,,X-Large,300,0,0,0,0,15,78,0,76,0,
1,0,Beverages,Dunkin' Donuts,,,,XLarge,500,15,14,0,0,480,89,3,71,4,335
1,0,Beverages,Dairy Queen,,,,Xlarge,620,0.5,0,0,0,240,144,5,131,11,
1,0,Beverages,Dairy Queen,,,,Xlarge,590,0,0,0,0,230,136,1,130,10,
1,0,Beverages,Dairy Queen,,,,Xlarge,660,0,0,0,0,220,153,3,149,10,
1,0,Beverages,Dunkin' Donuts,,,,XLarge,420,15,8,0,45,210,64,0,63,7,581
0,1,Beverages,Dunkin' Donuts,,,,XLarge,430,15,8,0,45,210,65,0,63,7,555
1,0,Beverages,Dunkin' Donuts,,,,XLarge,420,15,8,0,50,150,67,0,66,6,782
